Airline,Flight_Distance,Origin_Airport,Destination_Airport,Scheduled_Departure_Time,Day_of_Week,Month,Airplane_Type,Weather_Score,Previous_Flight_Delay_Minutes,Airline_Rating,Passenger_Load,Flight_Cancelled
3,475,2,0,4,6,1,2,0.225122,5.0,2.151974,0.477202,0
4,538,4,2,12,1,6,1,0.060346,68.0,1.600779,0.159718,1
2,565,0,0,17,3,9,2,0.09392,18.0,4.406848,0.256803,0
4,658,4,1,1,1,8,1,0.65675,13.0,0.998757,0.504077,1
4,566,1,0,19,7,12,4,0.505211,4.0,3.806206,0.019638,0
1,446,3,3,3,5,2,3,0.030072,5.0,2.228958,0.424126,0
2,688,3,0,12,4,9,1,0.969662,50.0,4.992475,0.678061,1
2,472,1,2,23,7,8,3,0.656046,12.0,3.056995,0.517755,0
2,591,2,3,15,2,12,3,0.515469,38.0,0.720948,0.5981,1
4,442,2,3,5,6,9,1,0.272724,2.0,2.097606,0.326618,0
3,422,3,3,7,3,4,4,0.658099,30.0,0.331495,0.183076,1
2,364,3,0,15,7,9,0,0.364168,76.0,1.428278,0.809741,1
0,371,0,0,12,4,2,0,0.802494,8.888889,0.858292,1.018839,1
1,452,2,0,22,3,1,3,0.682572,25.0,4.265883,0.510741,0
3,630,1,1,3,2,9,4,0.092744,84.0,4.389937,0.305041,1
1,526,2,3,1,6,10,4,0.909261,38.0,0.057786,0.511205,1
3,322,0,3,8,5,8,2,0.486974,0.666667,2.661393,0.878986,1
4,583,3,2,17,7,7,4,0.392945,14.0,1.317719,0.691406,0
0,499,3,1,16,7,8,3,0.955462,2.0,1.600465,0.858616,1
0,651,0,0,7,7,12,0,0.538209,52.44444,0.054128,0.369427,1
1,450,1,0,14,2,1,0,0.721221,19.33333,3.748729,0.711979,0
4,409,3,2,8,3,9,2,0.655136,62.0,4.752949,0.653049,1
3,673,4,0,16,3,12,1,0.16514,0.0,1.296335,0.571616,0
0,600,0,0,22,2,10,0,1.091143,14.22222,0.854432,0.594253,1
0,329,4,0,1,7,11,0,0.463604,3.0,1.03217,0.550978,1
0,536,0,0,5,1,9,0,0.494783,7.111111,2.525122,0.95588,1
2,329,0,0,4,2,12,1,0.919613,5.0,0.04678,0.915995,1
1,595,3,0,16,6,11,2,0.529238,11.0,2.919311,0.11286,0
3,388,2,1,1,6,9,2,0.705077,34.0,4.35382,0.568772,1
3,374,4,2,17,5,6,0,0.846246,5.0,0.931536,0.918408,1
2,638,1,3,9,2,4,1,0.235494,19.0,3.149976,0.13474,0
3,541,3,2,9,4,2,0,0.169467,76.0,0.453241,0.412859,1
0,451,3,3,11,6,4,2,0.897133,8.0,1.372146,0.113476,1
2,491,2,2,16,6,7,3,0.200367,54.66667,4.943767,0.904111,1
4,656,2,1,12,1,1,0,0.307754,9.0,4.810048,0.44618,0
2,532,2,0,19,4,9,4,0.285807,10.66667,3.86258,0.68874,0
4,733,2,0,15,7,3,2,0.304588,63.0,2.684213,0.138914,1
0,480,0,0,9,7,4,1,0.668061,46.0,3.832946,0.021947,1
0,595,0,0,20,2,12,0,1.054114,51.55556,0.326523,1.001794,1
